Gaelg
*Greetings|Bannaghtyn
I am behind with the work.|Ta mee ergooyl lesh yn obbyr.
I have many demands on my time.|Ta ymmodee currymyn orrym.
The daily grind.|Obbyr yn laa.
I am at work.|Ta mee gobbragh.
I cannot spare the time.|Cha noddym fordrail yn traa.
I am in an awful haste.|Ta driss mooar orrym.
I am in a dreadful hurry.|Cha nel corsoie aym.
I have so much to do, I shall hardly have finished by to-morrow.|Ta wheesh aym dy yannoo s'goan vees jerrey er m'obbyr liorish laa ny vairagh.
I've been working all day.|Ta mee er ve g'obbraghey feiy'n laa.
I have been on the go all day.|Ta mee er ve throng feie yn laa.
I have been on my legs all day.|Ta mee er ve er chosh feie'n laa.
I work hard.|Ta mee gobbragh dy creoi.
Working like blazes.|Gobbragh gollrish y Jouyll.
This work is beyond me.|Ta'n obbyr shoh er my skyn.
This work is a bore.|Ta'n obbyr shoh feer ghree.
I am bored.|Ta dreeys orrym.

*Physical State|Slaynt
**Health|Slaynt
I am in good health.|Ta mee ayns caillin vie.
I enjoy good health.|Ta mee goaill soylley jeh slaynt vie.
I am bodily fit.|Ta slaynt vie aym.
I am not quite myself today.|Cha nel mee lhiam pene jiu.
I am not in good trim today.|Cha nel mee ooilley mee hene jiu.
I am not well.|Cha nel yn claynt aym feer vie.
I am not well.|Cha nel aym pene.
There are days when I am well and other days I'm not.|Ta laghyn ayn as ta mee mie as laghyn elley nagh vel mee.
I am under the weather.|Ta mee red beg ching.
I have been sick.|Va mee ching.
I have been sick.|Ta mee er ve ching.
I have been laid up.|Ta mee er ve er my lhiabbee.
I feel sick.|Ta mee ching.
I feel sick.|Ta mee g'ennagh ching.
I've been ill during the last few days.|Va mee ching rish laa ny ghaa.
I've been ill during the last few days.|Ta mee er ve ching rish laa ny ghaa.
I got over the illness.|Haink mee my laue.
Fresh attack of sickness.|Teaym noa dy hingys.
This illness weakens me very much.|Ta'n chingys shoh jannoo mee feer faase.
My strength is failing.|Ta mee coayl my niart.
I have a disposition to catch colds.|Ta mee currit da feayraghtyn.
I caught a cold.|Hooar mee mughane.
I caught a cold.|Hooar mee feayraght.
I have a cold.|Ta mughane aym.
I have a cold.|Ta feayraght aym.
I have a cold hanging about me.|Ta feayraght aym ta goaill greim orrym.
I have a cold in my head.|Ta peeaghane aym.
My nose is stuffed up.|Ta'n 'troin aym lhieent.
I have the snuffles.|Ta ny stronnyn orrym.
I caught a chill there.|Hooar mee feayraght ayns shen.
I have the hiccups.|Ta'n ellag orrym.
I've got a headache.|Ta kione ching aym.
My head burns.|Ta my chione er aile.
I have a frightful headache.|Ta kione ching agglagh aym.
I have a bad head.|Ta my chione ching.
I have a bad head.|Ta chingys ching aym.
My head is swimming.|Ta mee thollaneagh.
I feel faint.|Ta mee goll my-nealloo.
My head itches.|Ta taghys er my chione.
I am troubled with rheumatism.|Ta'n aacheoid jannoo orrym.
It smarts.|T'eh piandagh.
It smarts.|T'eh gortey.
It smarts.|T'eh gonnagh.
I have toothache.|Ta ny beishtyn aym.
My tooth aches.|Ta m'eeackle criughey.
I dislocated my shoulder.|Chur mee my gheaylin ass olt.
My shoulder is dislocated.|Ta my gheaylin mooie.
I have pains in my inside.|Ta pianyn ayns my volg.
I've a pain in my side.|Ta pian aym ayns my lhiattee.
I am seasick.|Ta chingys marrey orrym.
My foot is sore.|Ta pian ayns my chass.
My foot is sore.|Ta my chass gonnagh.
My foot is asleep.|Ta my chass magganeagh.
My foot is asleep.|Ta maggane ayns my chass.
My foot has gone to sleep.|Ta my chass kyrloghit.
I have pins and needles in my foot.|Ta cadley jargan ayns my chass.
I have lost the power of my foot.|Ta mee er choayl lheihll my choshey.
My finger twinges.|Ta minniag ayns my vair.
I feel very much better.|Ta mee foddey ny share.
I feel better to-day.|Ta mee g'ennagh ny share jiu.
**Sleep|Cadley
I am drowsing.|Ta cadley orrym.
I am sleepy.|Ta'n cadley orrym.
I am falling asleep again.|Ta'n cadley cheet orrym reesht.
It makes me drowsy.|T'eh cur saveenys orrym.
I'm very sleepy.|Ta mee feer chadlagh.
I became sleepy.|Huitt yn cadley orrym.
I became sleepy.|Haink mee dy ve cadlagh.
I sleep badly these days.|Ta mee lieh chadley ny laghyn shoh.
I slept in.|Cha ren mee dooishtey.
I was asleep.|Va mee my chadley.
I snored.|Ren strinnoogh.
I slept out the day.|Ren mee cadley feie'n laa.
I slept it off.|Hug mee eh jeem ayns my chadley.
I am very yawny.|Ta mennuighys mooar orrym.
I am a bit tired.|Ta mee skeeagh.
I am a bit tired.|Ta mee red beg skee.
It's time to go to bed.|Te traa goll thie.
I didn't get a wink of sleep.|Cha chaddil mee neeal.
Sleep did not close my eyes during the night.|Cha daink cadley er my hooillyn er yn oie.
I did not sleep a wink all night.|Cha ren mee cadley meekey fud ny hoie.
I didn't have a wink of sleep all night.|Cha chaddil mee neeal er yn oie.
I couldn't sleep.|Cha d'od mee cadley.
I don't like going to bed late.|Cha laik lhiam goll dy lhie dy-anmagh.
I must be up by break of day.|Shegin dou ve er my chosh ec brishey'n laa.
I am accustomed to get up early.|Ta mee cliaghtit dy irree dy-moghey.
I generally rise early.|Ta mee g'irree dy-moghey dy-cliaghtagh.
I get up every morning at six o'clock.|Ta mee g'irree dagh moghrey ec shey er y chlag.
I generally go to bed early.|Ta mee dy-cadjin goll dy lhie dy-moghey.
I awoke at five o'clock and fell asleep again directly.|Ghooisht mee ec queig er y chlag, as huitt mee er cadley reesht chelleeragh.
I had a good sleep.|Ren mee cadley dy mie.
I've had a very good night's rest.|Ta aash oie feer vie er ve aym.
I am wide awake.|Ta mee feayn foshlit.
Full of pep.|Lane dy vree.
**Hunger|Accrys
Getting hungry.|Shanglaney.
I am hungry.|Ta mee gaccrys.
I am hungry.|Ta accrys orrym.
I've a good appetite.|Ta mian-bee mie aym.
I must eat a bit to take the hunger from my stomach.|Shegin dou greim y ee dy vuinn yn accrys jeh my ghailley.
I am famished.|Ta mee goll neau.
I am famished.|Ta accrys mooar orrym.
I am dying of hunger.|Ta accrys y vaaish orrym.
I am hungrier than ever I have been.|Ta mee ny s'accryssee na va mee rieau.
I haven't much appetite.|Cha nel monney gailley aym.
I am full to the gullet.|Ta mee lane da'n chrossag.
I am sated.|Ta my haie aym.
I am sated.|Ta my houyr lhiam.
My dinner won't go down.|Ta'n jinnair aym ny lhie er my chleeau.
My digestion is upset.|Ta my volg jannoo orrym.
**Thirst|Taart
I am thirsty.|Ta paays orrym.
I am parched.|Ta paays vooar orrym.
I should like a drink.|Iuin jough.
I should like a drink.|By vie lhiam jough.
I am in nowise drunk.|Cha nel mee er aght erbee scooyrit.
I am getting drunk.|Ta mee goaill y scooyr.
I am half drunk.|Ta mee lieh scooyrit.
I am half drunk.|Ta mee lieh er meshtey.
I drank overmuch.|Diu mee roud.
I drank my fill.|Diu mee my haie.
I am fond of drink.|Ta mee currit da'n jough.
**Hot and Cold|Cheh as Feayr
I am frozen.|Ta mee lhejit.
I am frozen.|Ta mee lhejey.
I am cold.|Ta mee feayr.
I am cold.|Ta feayraght orrym.
My feet are as cold as ice.|Ta my chassyn lhejit.
My feet are like ice.|Ta my chassyn riojit.
It's freezing in this room.|T'eh feayr agglagh 'sy chamyr shoh.
I am soaked to the skin.|Ta mee fliughit trooid as trooid.
I am soaked to the skin.|Ta mee fliugh-vaiht.
I am soaked to the skin.|Ta mee fliugh gys y chrackan.
I am perspiring.|Ta'n ollish magh orrym.
I am perspiring.|Ta mee gollish.
I am sweltering.|Ta broal orrym.
I am losing my eyesight.|Ta my hilley fajeil.
I am losing my sight.|Ta mee coayl yn shilley aym.
My sight is going.|Ta'n shilley aym failleil.
My sight is growing dim.|Ta mee coayl my hilley.
I am out of breath.|Ta mee roit ass ennal.

*Money|Argid
Money is the root of all evil.|Ta'n argid bun as baare jeh gagh olk.
I have used up all the money.|Ta'n argid ooilley ceaut aym.
I must have more money.|Shegin ve tooilley argid aym.
I have no money about me.|Cha nel argid erbee orrym.
I haven't much money.|Cha nel monney argid aym.
I haven't a penny, much less a pound.|Cha nel ping aym, gyn cheet er puint.
I haven't a red cent.|Cha nel ping ruy aym.
I haven't even a penny.|Cha nel ping hene aym.
I need money.|Ta feme aym er argid.
I wish for money.|Ta mee geearree argid.
I am getting on alright without much money.|Ta mee reirey kiart dy liooar dyn monney argid.
I don't know what my debts amount to.|Cha s'aym c'wooad ta ny feeaghyn orrym.
I am deep in debt.|Ta mee baiht ayns feeaghyn.
I ran into debt.|Haink mee fo feeaghyn.
I am badly in debt.|Ta mee fo lhiastynys mooar.
I should pay my debts.|Lhisin eeck my eeaghyn.
I only cleared my expenses.|Cha ren mee agh glenney my chostyssyn.
Ask your friend for the money.|Shir yn argid er y charrey ayd.
Money burns a hole in his pocket.|Ta argid lostey towl ny phoagey.
Money was tight at that time.|By jiark yn argid ec y traa shen.
Money renders him an important man.|Ta argid jannoo dooinney mooar jeh.
Money put by to fall back on.|Argid tasht seose ry-hoi traa chionn.
Money troubles.|Arkyssyn argid.
My money is at an end.|Ta'n argid aym ceaut.
They are always greedy for money.|T'ad rieau shegin er argid.
I am in financial difficulty.|Ta mee fo arkys.
I can't live on air.|Cha noddym beaghey er y gheay.
I am broke.|Ta mee rooisht argid.
I am out of cash.|Ta my phoggaid follym.
I am out of debt.|Ta mee neulhiastynagh.
I consider it expensive.|S'deyr lhiam eh.
I paid through the nose for it.|Deeck mee daa leagh er e hon.
It is free of charge.|T'eh seyr.
It is dirt-cheap.|T'eh feer neugheyr.
It has no monetary value.|Cha nel eh feeu argid erbee.
It has no intrinsic value.|Cha nel leagh erbee ayn ass e hene.
I got it for next to nothing.|Hooar mee son bunnys veg eh.
I bought mine very cheap.|Chionnee mee yn fer aym feer neugheyr.
I came in to a lot of money.|Hooar mee ram argid trooid eiraght.
I am rich.|Ta mee berchagh.
I have money at hand.|Ta argid aarloo aym.
I also got money.|Hooar mee argid neesht.
I am paying my way.|Ta mee geeck yn ayrn aym.
I am paying my way.|Ta mee tannaghtyn erskyn ny feeaghyn aym.
I will go halves in it.|Gowym yn lieh jeh.
I will go halves in it.|Bee y lieh orryms.
I want a detailed account before I pay.|Saillym mynchoontys roish my eeckym.
He must have a great deal of money.|Shegin ve mooarane argid echey.
Saving money for a rainy day.|Tashtey argid cour laa fliaghee.
You must have less money.|Cha negin ve tooilley argid eu.

*Exclamations|Yllaghyn
**General|Cadjin
Good luck!|Aigh vie!
Hang on!|Cum ort!
Half a sec!|Tannee shallid!
Deliver us from evil!|Livrey shin veih olk!
Glory be to God!|Gloyr dy row gys Jee!
Good news!|Naight vie!
God be praised!|Moylley lesh Jee!
God be between me and every evil.|Dy bee Jee eddyr aym as dagh ooilley ghrogh red.
**Anger|Ferg
A plague on him!|Lane y vollaght da!
It serves him right!|Leshyn myr toilchyn!
Away with him!|Ersooyl lesh!
Curse you!|Nara noain dhyt!
Shut your mouth!|Jeigh dty ghob!
Shut your mouth!|Jeigh dty veeal!
Bridle your tongue!|Cur streean er dty hengey!
Hush!|Eaisht!
Hush!|Bee-jee nyn dost!
Hush!|Bee dty host!
Hush!|Whush!
Bad death on you!|Drogh vaase ort!
All the more shame to you!|Smoo dty nearey eh!
For shame!|My nearey!
How could you!|Cre haink ort y lheid y yannoo!
How could you!|Cre haink ort y lheid y ghra!
Evil on thee!|Drogh ort!
Damnation on thee!|Mollaght mynney ort!
Down with you!|Sheese lhiat!
Away with you!|Ersooyl-jee!
Away with you!|Ersooyl lhiat!
Beat it!|Fow royd!
Be off!|Immee royd!
Clear off!|Ass my hilley!
Clear off!|Sthoo!
Clear out!|Magh ass shoh!
Curse them!|Giare heill orroo!
Curse them!|Skeayll orroo rass as cass!
Curse them!|Scaalhean orroo!
Bad luck to them!|Donnys orroo!
Bad luck to them!|Skeab lhome orroo!
Bad luck to them!|Dy der y jouyll lesh thie ad!
Bad luck to them!|Drogh-oor orroo!
For God's sake!|Son graih Yee!
For the love of God!|Er graih Yee!
**Warnings|Raaeuyn
Beware!|Bee er dty arrey!
Beware!|Bee-jee er nyn dwoaie!
Be careful of what you are doing!|Jeeagh er yn red t'ou jannoo!
Be careful of it!|Cur arrey da!
Be on your guard!|Bee er dty hwoaie!
Careful now!|Gow kiarail!
Careful now!|Arrey nish!
Caution!|Gow arrey!
**Toasts|Iuyn Slaynt
Cheers!|Shoh hood!
Cheers!|Slane!
Cheers!|Bannaghtyn!
Cheers!|Slane lhiat!
Cheers!|Slaynt!
Here's to your health.|Slaynt vie.
Here's a toast to you.|Er hoh jough laynt dhyt.
Life and health to you.|Seihll as slaynt dhyt.
Good health, a long life, a wet mouth, and death in Mann.|Slaynt vie, bea veayn, beeal fliugh as baase ayns Mannin.


*Weather|Emshir
**General|Cadjin
How is the weather today?|Cre gollrish ta'n emshir jiu?
Tomorrow's weather.|Emshir ny vairagh.
**Fine Weather|Emshir Aalin
It is sunny.|Ta grian ayn.
The sun is shining.|Ta'n ghrian soilshean.
The sun is shining.|Ta'n ghrian mooie.
It's fine weather.|Ta emshir aalin ayn.
It is a fine day.|Ta laa braew ayn.
It's a fine night.|Ta oie aalin ayn.
The sun is beginning to break through.|Ta'n ghrian goaill toshiaght dy vrishey trooid.
Sunny day.|Laa grianagh.
Fair weather.|Emshir aalin.
We shall have a fine day.|Bee laa aalin ain.
Good weather.|Emshir vie.
Steady weather.|Emshir veayn.
Fair weather and heat coming.|Emshir aalin cheet as chiass.
What a fine autumn day!|Cre'n laa fouyir aalin t'ayn!
Fine, calm, anticyclonic weather.|Aalican.
The weather has turned out fine.|Ta'n emshir braew.
The weather is brightening.|T'eh giallaghey.
The weather bids fair.|S'cosoylagh vees emshir vie ayn.
The weather is settling.|Ta bun cheet er yn emshir.
The sky is clearing.|Ta'n speyr glenney.
It is clearing up.|Ta ny bodjallyn troggal.
It is clearing up.|T'eh sloateil.
It's drying now.|T'eh sloateil nish.
The weather is clearing up already.|Ta'n emshir hannah cleeiral.
The bad weather is lifting.|Ta'n earish troggal seose.
They say it's a sign of fine weather, in the morning.|Ta feallagh gra dy nee cowrey emshir aalin eh, ayns y voghrey.
**Rain|Fliaghey
How can you go out in such weather?|Kys vod shiu goll magh ayns lheid yn earish?
Is it raining?|Vel jeein ayn?
A little rain.|Smooidraght.
There was a little rain during the day.|Va smooidraght dy liaghey ayn er y laa.
It looks like rain.|T'eh baggyrt fliaghey.
It is teeming rain.|T'eh deayrtyey.
It is raining.|T'eh ceau fliaghey.
It is rainy weather.|T'eh jannoo emshir liugh.
It is raining with a vengeance.|T'eh ceau fliaghey as cur fliaghey er shen.
It is raining in real earnest now.|T'eh ceau fliaghey dy kiart nish.
It is raining fast.|T'eh ceau dy trome.
It is raining cats and dogs.|Ta thooilley ayn.
It is raining bucketfuls.|T'eh deayrtey fliaghey.
It's pelting rain.|Ta'n fliaghey greddey roish.
Drenching rain.|Fliugh-liaghee.
Scattered showers.|Frassyn skeaylt.
Shower of rain.|Ceau fliaghee.
Showery day.|Laa frassagh.
Showery day.|Laa drappanagh.
Soaking downpour.|Fliaghey ragh trooid claare darragh.
The rain has beaten down the corn.|Ta'n plaggad lhieggit ec y fliaghey.
The rain flooded the river.|Hug y fliaghey yn awin harrish y broogh eck.
The rain has cooled the air.|Ta'n fliaghey er n'eayraghey yn aer.
It started to rain heavier than ever.|Haink y fliaghey ny s'trimmey na rieau.
It rained heavily during the night.|Va ram fliaghey jeant er yn oie.
The rain will help the garden.|Nee'n fliaghey jannoo foays da'n gharey.
The rain stopped play.|Ren y fliaghey lhiettal y cloie.
The rains came.|Haink ny fliaghaghyn.
The rain lightened.|Ren y fliaghey lhiggey jeh.
The rain increased.|Hrommee yn fliaghey.
The rain has soaked through my coat.|Ta'n fliaghey er n'gholl stiagh trooid my chooat.
The rain has revived all the plants.|Ta'n fliaghey er n'aavioghey ny lossreeyn ooilley.
The rain is heavy.|Ta trome-liaghee ayn.
I believe we shall have rain before long.|Ta mee credjal dy bee fliaghey ain roish foddey.
I feel some drops of rain.|Ta mee g'ennagh bineyn fliaghee.
It has rained a great deal.|Ta ram fliaghey er ve jeant.
It's blowing up for rain.|T'eh sheidey seose fliaghey.
It has the appearance of rain.|T'eh moorjeenagh.
I don't think it will rain.|Cha nel mee smooinaghtyn dy geau eh.
We're in great want of rain.|Ta shin ayns feme mooar jeh fliaghey.
We may have some showers, for the sky is getting cloudy.|Foddee ve frassyn ain, son ta'n aer jeeaghyn mooirjeenagh.
Some rain will do no harm.|Cha jean fliaghey assee erbee.
A little rain would do good to the garden.|Yinnagh red beg dy liaghey mie da'n gharey.
Heavy rain.|Trome-liaghee.
Heavy fall of rain.|Deayrtey fliaghee.
Heavy fall of rain.|Teaumey fliaghee.
The rain lightened.|Deddrymee y fliaghey.
The rain is holding off.|Ta'n fliaghey gyn tuittym.
The rain is heavy.|Ta'n fliaghey trome.
Pelting with rain.|Deayrtey fliaghey.
I think it is going to rain.|Ta mee credjal dy vel eh mysh ceau.
It's pouring.|Te teaymey.
It is pouring rain.|T'eh teaumey fliaghey.
I don't think it will rain.|Er lhiam nagh geauee eh.
We shall have rain.|Bee fliaghey ain.
It's rainy weather.|Te jannoo emshir fliugh.
It's thundering.|Te taarnaghey.
It is drizzling.|Ta joanlagh ayn.
It is drizzling.|T'eh dramaney.
It's dreadful weather.|Ta emshir olk ayn. Te jannoo emshir olk.
The thunder roars.|Ta'n taarnagh buirroogh.
The lightning has struck a house.|Ta'n tendreil er woalley thie.
It's lightning.|Ta tendreil ayn.
The weather is stormy.|Ta'n emshir stermagh.
It will rain.|Nee eh ceau.
It's been raining very fast.|Te er ve ceau feer chreoi.
It's coarse weather to-day.|Te rastagh jiu.
Bad weather.|Drogh earish.
Angry sky.|Speyr voorjeenagh.
Bitter weather.|Emshir fannee.
Foul weather.|Earish vooar.
Raw weather.|Emshyr ghlass.
Rough weather.|Emshir vooar.
Rough weather.|Emshir gharroo.
Showery weather.|Frassaght.
The weather is against us.|Ta'n emshir jannoo orrin.
The weather is against us.|Ta'n emshir noi ain.
The weather deteriorated.|Hie yn emshir ny smessey.
I wish the weather were fine.|Saillym dy beagh yn emshir aalin.
It's bad weather.|Ta emshir olk ayn.
It's wet.|Te feer fliugh.
There's a heavy dew.|Ta druight trome ayn.
The weather is very changeable.|Ta'n emshir feer cheaghliagh.
Heavy weather.|Breenagh.
It is hailing.|Ta sniaghtey garroo ayn.
It is hailing.|T'eh ceau claghyn sniaghtee.
It is hailing.|T'eh ceau sniaghtey garroo.
**Hot and Humid|Cheh as Tash
It's warm.|Te cheh.
The thermometer is up.|T'eh ny s'choe.
