Māori
*Praising|Whakamihi
Love and best wishes|Ngā mihi nui
Our thoughts are with you|Kei konā kei a koe/kōrua/koutou ngā whakaaro
Thinking of you|Kei konā te whakaaro
God be with you|Mā te Atua koe e tiaki
My prayers are with you|Kei a koe aku inoi
Love from Dad|Me te aroha nui o Pāpā
Love from Mum and Dad|Me te aroha nui o Pāpā rāua ko Māmā
Love from Mum|Me te aroha nui o Māmā
Love from all at home|Me te aroha atu o te katoa i te kāinga nei
With best wishes for a speedy recovery|Ko te wawata kia tino piki te ora ki a koe/kōrua/koutou
Wishing you a speedy recovery/Get well soon|Kia piki te ora ki a koe/kōrua/koutou
Hope you are feeling better|Ko te wawata kua ora ake koe
Thrilled with your news|Tino koa ana i te rongo pai kua hau mai
With kind thoughts|Me te whakaaro nui
With best wishes to you both|Ngā mihi nui ki a kōrua tahi
God bless|Mā te Atua e manaaki
God is watching over you|Mā te Atua koe e manaaki
Be strong|Kia kaha
Best wishes for a happy trip|Kia pai te haere
Travel safely/Have a wonderful trip|Haere pai atu, hoki pai mai
Thank you/Many thanks|Tēnā rāwā atu koe
Thank you for your hospitality|Tēnā koe i ō manaakitanga mai
Thank you for your hospitality|Tēnā kōrua i ā kōrua manaakitanga mai
Thank you for your hospitality|Tēnā koutou i ā koutou manaakitanga mai
In appreciation|Me te mihi nui
In appreciation of your kindness|Me te mihi nui mō ō manaakitanga
In appreciation of your kindness|Me te mihi nui mō ā kōrua manaakitanga
In appreciation of your kindness|Me te mihi nui mō ā koutou manaakitanga
Welcome home|Nau mai ki te wā kāinga
Welcome home|Hoki mai ki te wā kāinga


*Birthday
Happy Birthday, love|Ngā mihi rā i tō rā whānau, e te tau
Wishing you a very happy birthday|Ngā mihi nui i tō rā whānau
With love and best wishes for a Happy Birthday|Ngā mihi nui me te aroha nui i tō rā whanau

*Congratulations
Congratulations and best wishes to you both, from (name)|Ngā mihi nui ki a kōrua, nā (ingoa)
Congratulations and love from (name)|Ngā mihi nui me te aroha, nā (ingoa)
Congratulations and best wishes|Ngā mihi nui me te aroha nui
Congratulations and love to you both|Tēnā rā kōrua i roto i ngā mihi me te aroha nui

*Christmas, New Year and Easter
Happy Christmas lots of love, from (name)|Ngā mihi o te wā me te aroha nui, nā (ingoa)
A Merry Christmas and Happy New Year|Ngā mihi o te wā me te Tau Hou
Christmas Greetings|Ngā mihi o te Kirihimete
Wishing you a very Happy Christmas|Ngā mihi mō te Kirihimete
Happy New Year|Ngā mihi o te Tau Hou
Wishing you all a very Happy New Year|Ngā mihi o te Tau Hou ki a koutou katoa
Wishing you both a very Happy New Year|Ngā mihi o te Tau Hou ki a kōrua

*Sympathy
With deepest sympathy|Me te aroha tino nui atu
With loving thoughts and prayers|Me ngā whakaaro, inoi aroha atu
With deepest sympathy for your sad loss|Tēnā rāwā atu koe i tō aituā nui
With heartfelt sympathy|E ngau kino nei te aroha
With loving thoughts and sympathy|Kei konā te aroha me te whakaaro
With fondest memories|Kore rawa atu e wareware
Please accept my/our deepest sympathy|Me te pōuri tino nui
In memory/In fond remembrance|Hei maumaharatanga
In loving memory of a dear friend|Hei maumaharatanga ki te tino hoa
Love and sympathy|Te mamae me te pōuri nui e ngau kino nei
