Gaeilge
*Greetings|Beannachtaí
Soon hot soon cold (moods change).|Comhfhad a théann teas agus fuacht.
A calm night presages a storm.|Cothú na doininne soineann na hoíche.
A short visit and not too frequent (one should not wear out one's welcome).|Cuairt ghearr is a déanamh go hannamh.
First catch your hare.|Cuir an breac san eangach sula gcuire tú sa phota é.
You cannot make a silk purse out of a sow's ear.|Cuir culaith shíoda ar ghabhar agus is gabhar i gcónaí é.
However long the day, night will come.|Dá fhad é an lá, tagann an oíche.
Do much and say little (actions speak louder than words).|Déan mórán agus can beagán.
Do to others as you would have others do to you.|Dearc chugat mar a dhearcas tú uait.
The cat benefits by the housewife's negligence.|Dearmad bhean an tí ag an gcat.
Sleep is death's brother.|Deartháir don bhás an codladh.
Sunday charity overloads the devil's back (occasional almsgiving is not charity in the true sense).|Déirc an Domhnaigh a bhriseas droim an diabhail.
One success leads to another.|Deis a dhéanann deis.
Clothes make the man.|Den duine an t-éadach.
Forewarned is forearmed.|Den imirt an coimhéad.
Might is (two-thirds) right.|Dhá dtrian córa cumhacht.
Appearances count.|Dhá dtrian den damhsa an chosúlacht.
The risk of illness is greatest at night.|Dhá dtrian galair le hoíche.
More haste less speed.|Dhá dtrian moille le deifir.
It takes a wedge of its own timber to split an elm.|Ding dá adhmad féin a scoilteas an leamhán.
Spill your drink and you will thirst (wilful waste makes woeful want).|Doirt do dheoch is beidh tart ort.
Borrowing leads to abuse.|Do spoir féin agus capall duine eile.
Hear much and say little (be patient in hearing and reserved in speech).|Éist mórán agus can beagán.
Fine feathers make fine birds.|Eochair uaisle éadach.
Leave bad news where you found it.|Fág an drochscéal san áit a bhfuair tú é.
Age conquers all.|Faightear gach laoch in aisce.
Locking the stable door after the horse has been stolen.|Fál ar an ngort tar éis na foghla.
The lucky man waits for the lucky moment (luck is largely a matter of opportunity).|Fanann fear sona le séan.
Treachery brings its own punishment.|Filleann an feall ar an bhfeallaire.
Love is blind.|Folaíonn grá gráin.
A good autumn makes for a lean spring.|Fómhar féarmhar agus earrach éagmhar.
Things are done with a good or a bad grace.|Gabhtar fonn le fonn agus fonn le mífhonn.
Every fosterling as it is reared.|Gach dalta mar a oiltear.
Blood is thicker than water.|Gach díograis go deireadh.
Like father like son.|Gach uige mar a hábhar.
Two shorten the road.|Giorraíonn beirt bóthar.
The one-eyed man is king in the land of the blind.|I dtír na ndall is rí é fear na leathshúl.
A hound depends on its speed for food.|I gcosa cú a bhíos a chuid.
Constant dropping wears away the stone.|Imíonn gach maith le mionchaitheamh.
A friend in need is a friend indeed.|In am an ghátair a bhraitear an chabhair.
The tiniest thorn can suppurate (little things may cause a lot of trouble).|Is beag an dealg a dhéanfadh braon.
It is easy to blot fair fame.|Is beag an rud a shalaíonn stocaí bána.
Any little thing may outlast a human being, may serve as a reminder of someone.|Is beag an rud is buaine ná an duine.
A silent mouth is sweet.|Is binn béal ina thost.
A cow is more valuable for her milk than for her broth.|Is buaine an t-uanán ná an t-anraith.
Fame lives on after death.|Is buaine bladh ná saol.
A man is solid in his homeland.|Is buan fear ina dhúiche.
Still waters run deep.|Is ciúin iad na linnte lána.
There are many surprising turns in life.|Is cleasach an peata an saol.
A cat feels the loss of its kitten.|Is creach don chat a phiscín.
Youth must have its fling.|Is cuma leis an óige cá gcroithfidh sí a cos.
You can't put an old head on young shoulders.|Is deacair ceann críonna a chur ar cholainn óg.
It is hard to keep a thieving cow within bounds, to check a rogue.|Is deacair claí a chur ar bhó bhradach.
It is hard to twine an old rod (you can't teach an old dog new tricks).|Is deacair seanslat a shníomh.
Charity begins at home.|Is deise do dhuine a léine ná a chóta.
A tree provides shelter, but only until it becomes saturated.|Is díon an crann fad is díon dó féin é.
The madman thinks himself the one with sense.|Is dóigh le fear na buile gurb é féin fear na céille.
It is hard to comb a curly head, to smooth away difficulties.|Is doiligh ceann catach a chíoradh.
A bad workman quarrels with his tools.|Is doiligh corrán maith a fháil do dhrochbhuanaí.
The horse of work is food.|Is é capall na hoibre an bia.
There's many a slip twixt the cup and the lip.|Is fada ón luaith an bocaire.
Nothing is impossible in the sight of God.|Is fada siar an rud a chuirfeadh Dia aniar.
The Lord will provide.|Is fairsing Dia sa chúngach.
A bird in the hand is worth two in the bush.|Is fearr áirithe na srathrach ná iasacht na diallaite.
Foresight is better than hindsight.|Is fearr amharc amháin romhat ná dhá amharc do dhiaidh.
Defeat is better than disgrace.|Is fearr `A Mhuire mo thrua' ná `A Mhuire mo náire'
Freedom of action is better than frustration.|Is fearr an cú atá sa siúl ná an cú atá sa lúb.
Strife is better than loneliness.|Is fearr an troid ná an t-uaigneas.
Health is better than wealth.|Is fearr an tsláinte ná na táinte.
Better enough than too much.|Is fearr bail ná iomad.
It is better to start early than to work late.|Is fearr banlámh den lá ná dhá bhanlámh den oíche.
Blood is thicker than water.|Is fearr beagán den ghaol ná mórán den charthanas.
A cabin with plenty of food is better than a hungry castle.|Is fearr bothán biamhar ná caisleán gortach.
A good name is better than riches.|Is fearr clú ná conách.
A bird in the hand is worth two in the bush.|Is fearr éan sa bhos ná péire sa tor.
A friend in court is better than a penny in the purse.|Is fearr focal sa chúirt ná bonn sa sparán.
It is better to be patient than to quarrel.|Is fearr foighne ná imreas.
It is better to be a butt of ridicule than an object of envy.|Is fearr fuíoll fonóide ná fuíoll formaid.
Better be sure than sorry.|Is fearr glas ná amhras.
Quality is better than quantity.|Is fearr greim de choinín ná dhá ghreim de chat.
A handful of skill is better than a bagful of gold.|Is fearr lán doirn de cheird ná lán mála d'ór.
Something is better than nothing.|Is fearr leath ná meath.
Better a son a gambler than a son a drunkard.|Is fearr mac le himirt ná mac le hól.
Anything is better than walking, half a loaf is better than no bread.|Is fearr marcaíocht ar ghabhar ná coisíocht dá fheabhas.
Discretion is the better part of valour.|Is fearr rith maith ná drochsheasamh.
Better old debts than an old score (it is better to have someone beholden to you than at enmity with you).|Is fearr seanfhiacha ná seanfhala.
A bad bush is better than the open field.|Is fearr suí ar an scáth ná suí ar an mblár folamh.
It is better to be alone than in bad company.|Is fearr uaigneas maith ná droch-chuideachta.
Fame without friends is a cheerless thing.|Is fuar an rud clú gan chara.
It is easy to do something if one has the means.|Is furasta fuineadh in aice na mine.
The month of the cuckoo is severe.|Is garbh mí na gcuach.
The black raven thinks her own chicks are beautiful.|Is geal leis an bhfiach dubh a ghearrcaí féin.
God's help is always near.|Is giorra cabhair Dé ná an doras.
Distant hills look green (distant prospects can be deceptively alluring).|Is glas na cnoic i bhfad uainn.
It is the quiet pigs that eat the meal.|Is iad na muca ciúine a itheann an mhin.
A young person goes through many phases.|Is iomaí craiceann a chuireas an óige di.
Let us enjoy the day while we have it, we'll be dead long enough.|Is iomaí lá ag an uaigh orainn.
To every cow its calf and to every book its copy.|Is le gach bó a lao agus is le gach leabhar a chóip.
A wren needs only its nest.|Is leor don dreoilín a nead.
A word to the wise is sufficient.|Is leor nod don eolach.
A small spark kindles a large fire.|Is lú ná fríd máthair an oilc.
One should face up to one's troubles.|Is mairg a mbeadh doicheall roimh dheacair aige.
It is a good horse that will pull its own cart.|Is maith an capall a tharraingíos a charr féin.
It is a good horse that doesn't stumble|Is maith an capall nach bhfaigheann barrthuisle.
The good hen doesn't lay outside.|Is maith an chearc nach mbeireann amuigh.
It is good to have enough to go round.|Is maith an chreach a roinneas.
Forewarned is forearmed.|Is maith an fhaire an fhógairt.
Hunger is good sauce.|Is maith an t-anlann an t-ocras.
The hurler on the ditch is always the best.|Is maith an t-iascaire an té atá ar an talamh.
God's help is always near.|Is maith Dia go lá agus ní fearr ná go brách.
It is better to live comfortably than to have too much of the world's goods.|Is maith stró agus ní maith róstró.
It is not good to stand alone.|Is maol gualainn gan bhráthair.
Every sweet hath its sour.|Is milis á ól ach is searbh á íoc é.
There's many a slip between the cup and the lip.|Is minic a bádh long láimh le cuan.
It is often an ant made a horse jump.|Is minic a bhain seangán léim as gearrán.
He who comes late has often to go without (one should not leave things too late).|Is minic a bhí an fear deireanach díobhálach.
Silence often denotes guilt.|Is minic a bhí ciúin ciontach.
A lagging hound was often lucky (better late than never).|Is minic a bhí cú mall sona.
More haste less speed.|Is minic a bhí deifreach deireanach.
It's often that ugly is mannerly and handsome is bad.|Is minic a bhí gránna gnaíúil is dathúil dona.
It's often that a person's mouth breaks his nose.|Is minic a bhris béal duine a shrón.
Many a prudent girl was led astray with honeyed words.|Is minic a chealg briathra míne cailín críonna.
Death has often benefited the needy.|Is minic a dhearc béal na huaighe ar bhéal na truaighe.
All griefs are less with bread.|Is minic a mhaolaigh béile maith brón.
Many a ragged colt made a noble horse.|Is minic a rinne bromach gioblach capall cumasach.
It is often that the slow hound captures a hare.|Is minic a rug cú mall ar ghiorria.
Grey hairs need not signify old age.|Is minic duine liath lúfar.
Many a foolish father had a wise son.|Is minic saoi ó dhaoi.
An unlearned craft is an enemy.|Is namhaid í an cheird gan í a fhoghlaim.
It's a poor hen that will not scratch for itself.|Is olc an chearc nach scríobann di féin.
It is a poor hound that is not worth whistling for (anything is better than nothing).|Is olc an cú nach fiú fead a ligean air.
It's an ill wind that blows nobody good.|Is olc an ghaoth nach séideann do dhuine éigin.
It's an ill bird that fouls its own nest.|Is olc an t-éan a shalaíonn a nead féin.
The stones of the great house are slippery.|Is sleamhain iad leaca an tí mhóir.
Foreign cows have long horns (distance lends enchantment to the view).|Is taibhseach iad adharca na mbó thar lear
Mercy has a most sustaining quality.|Is teann an taca an trócaire.
A cock is bold on his own dunghill.|Is teann gach madra ag a dhoras féin.
Instinct is stronger than upbringing.|Is treise dúchas ná oiliúint.
Even a hen becomes a burden on a long journey.|Is trom cearc i bhfad.
Enforced idleness is wearisome.|Is tuirseach fear curaigh le cuan.
A drink comes before a story (one should offer a drink before asking for news).|Is túisce deoch ná scéal.
Out of the frying-pan into the fire.|Léim ón tine chun na gríosaí.
Speed is not conducive to accuracy.|Loiteann luath léir.
We must pay for our mistakes.|Lot a láimhe féin ar an gcearrbhach.
Patience is always rewarded.|Má bhíonn long is lón agat gheobhaidh tú cóir uair éigin.
A craftsman's son may grow up in ignorance of his father's skills.|Mac an tsaoir ábhar an tuata.
Live horse and you will get grass.|Mair, a chapaill, agus gheobhaidh tú féar.
Like father like son.|Mar a bhíos an cú mór bíonn an coileán.
Blood is thicker than water.|Más deas do dhuine a chóta is deise do dhuine a léine.
Everything must come to an end.|Más fada an lá tig an oíche.
Treachery brings its own punishment.|Más feall fillfidh.
Love me love my dog.|Más ionúin an chráin is ionúin an t-ál.
If you want praise, die. If you want criticism, marry.|Más maith leat do mholadh, faigh bás. Más maith leat do cháineadh, pós.
Strength should be tempered with mercy.|Má tá tú láidir bí grástúil.
God's mill grinds slow (but sure).|Meileann muilte Dé go mall ach meileann siad go mín.
The work commends the craftsman (a man may be judged by his achievements).|Molann an obair an saor.
Youth responds to praise.|Mol an óige is tiocfaidh sí.
Judge things as you find them.|Mol an t-áth mar a gheobhair.
Praise the crop and not the braird (don't count your chickens before they are hatched).|Mol gort is ná mol geamhar.
If you can't beat them join them.|Mura dtaga leat tar leo.
Don't hide your light under a bushel.|Mura mbeadh agat ach gabhar bí i lár an aonaigh leis.
Leave forbidden things alone and they cannot harm you.|Ná bain do gheis agus ní bhainfidh geis duit.
Call a spade a spade.|Ná baintear an t-ainm den bhairín.
One should not go out of one's way to look for trouble.|Ná beannaigh don diabhal go mbeannaí sé duit.
Do not put comfort before discomfort (business first).|Ná cuir an sócúl roimh an dócúl.
Don't interfere in other people's business.|Ná cuir do chorrán i ngort gan iarraidh.
Follow traditional customs.|Ná déan acht agus ná bris acht.
Neither make nor break a custom.|Ná déan nós agus ná bris nós.
Neither buy nor sell a black sheep but never be without one.|Ná díol caora dhubh, ná ceannaigh caora dhubh, agus ná bí gan caora dhubh.
One should try to deal with the proper authorities.|Ná labhair leis na cosa má bhíonn an ceann sa láthair.
Don't count your chickens before they are hatched.|Ná maraigh an fia go bhfeice tú é.
Leavings don't make a feast.|Ná samhail fleá le fuíoll.
Don't betray friendship for gain.|Ná tréig do charaid ar do chuid.
St. Patrick did not come to Ireland unprepared (one should not rely on half-measures).|Ní ar leathchois a tháinig Pádraig go hÉirinn.
There can be no progress without discipline.|Ní bhíonn an rath ach mar a mbíonn an smacht.
There is no rose without thorns.|Ní bhíonn an sonas gan an donas ina orlaí tríd.
A diffident man does not get many perquisites (if you will not ask you will not get).|Ní bhíonn fear náireach éadálach.
It is a good horse that never stumbles.|Ní bhíonn rith maith ag gach each i gcónaí.
Homer sometimes nods.|Ní bhíonn saoi gan locht.
A trout isn't caught until it's landed.|Ní breac go port é.
A quarrel between friends is soon healed.|Ní buan cogadh na gcarad.
Nothing on earth is permanent.|Ní buan gach ní a chaitear.
Marriage can be quite a cross.|Ní céasadh go pósadh.
A hungry hound does not remember its whelp (necessity knows no law).|Ní chuimhníonn cú gortach ar a coileán.
Miserliness is not thrift (it does not pay to be mean).|Ní críonnacht creagaireacht.
It is never too late to mend.|Ní déanach an mhaith aon uair.
One is free to laugh.|Ní de dhuine a gháire.
A long sickness doesn't lie.|Ní deir galar fada bréag.
You cannot make a silk purse out of a sow's ear.|Ní dhéanfadh an saol capall rása d'asal.
What is sauce for the goose is sauce for the gander.|Ní faide gob na gé ná gob an ghandail.
No man is a prophet in his own country.|Ní fáidh fear ar a thairseach féin.
A man can't whistle and drink at the same time.|Ní féidir le duine a bheith ag feadaíl agus ag ithe mine.
Dead men tell no tales.|Ní fhágann marbh láthair.
One must seek out opportunities.|Ní fhaigheann cos ina cónaí dada.
Violence begets violence.|Ní fhaigheann lámh iata ach dorn dúnta.
The silent priest doesn't earn his keep.|Ní fhaigheann sagart balbh beatha.
There is no easy road to prosperity.|Ní fhaightear saill gan saothrú.
Time and tide wait for no man.|Ní fhanann muir le fear sotail.
The windy day is not the day for thatching (take time by the forelock).|Ní hé lá na gaoithe lá na scolb.
If you want to know me come and live with me.|Ní heolas go haontíos; ní thig eolas gan aontíos.
Strength is not everything.|Ní hiad na fir mhóra a bhaineann an fómhar go huile.
It is easier to go to the town than to come back from it (delays are inevitable).|Ní hionann dul chun an bhaile mhóir agus teacht as.
One should not judge by appearances.|Ní hionann i gcónaí an cófra is a lucht.
Handsome is as handsome does.|Ní huaisle mac rí ná a chuid.
Learning is no encumbrance.|Ní hualach do dhuine an léann.
A traitor is seldom caught in time.|Ní in am a bhraitear an fealltóir.
Everyone has his ups and downs in life.|Ní íseal ná uasal ach thíos seal thuas seal.
No one knows here his sod of death is.|Níl a fhios ag éinne cá bhfuil fód a bháis.
A deaf man can only attempt to understand what is said.|Níl ag fear bodhar ach lán a chluas a thabhairt leis.
There are no unmixed blessings in life.|Níl aon suáilce gan a duáilce féin.
There is no place like home.|Níl aon tinteán mar do thinteán féin.
Hard words break no bones.|Níl cáin sa bhuille nach mbuailtear.
Accidents will happen.|Ní leithne an t-aer ná an timpiste.
There is no cure for death.|Níl luibh ná leigheas in aghaidh an bháis.
There is no use crying over spilt milk.|Níl maith a bheith ag caint faoi bhainne doirte.
It is no use crying over spilt milk.|Níl maith sa seanchas nuair a bhíos an anachain déanta.
There is no cure for death (but to marry again).|Níl neart ar an mbás ach pósadh arís.
Life is only wind and vapour.|Níl sa saol ach gaoth is toit.
Nothing can last for ever.|Níl tuile dá mhéad nach dtránn.
Charity is not diminished by being shared.|Ní lúide an trócaire a roinnt.
You don't trick the fox twice.|Ní mhealltar an sionnach faoi dhó.
A kind word is always welcome.|Ní mhilleann dea-ghlór fiacail
Unity is strength.|Ní neart go cur le chéile.
All men are mortal.|Níor bhlais an bia nach mblaisfidh an bás.
A kind word is always welcome.|Níor bhris focal maith fiacail riamh.
All that is ventured is not lost; nothing venture, nothing win.|Níor cailleadh leath dá ndeachaigh i gcontúirt.
Fortune favours the brave.|Níor chaill fear an mhisnigh riamh.
God never closed one door without opening another.|Níor dhún Dia doras riamh nár oscail Sé ceann eile.
Blank paper never rejected ink (youth is impressionable).|Níor eitigh páipéar bán dúch riamh.
An old cat never scorches itself.|Níor loisc seanchat é féin riamh.
All our joys are overcast with sorrow (no joy without alloy).|Níor tháinig riamh an mheidhir mhór nach dtiocfadh ina diaidh an dobrón.
One swallow does not make a summer.|Ní scaoth breac.
An empty sack won't stand (it is hard to work on an empty stomach).|Ní sheasann sac folamh.
A closed mouth doesn't swallow flies.|Ní shlogann béal dúnta cuileoga.
A rolling stone gathers no moss.|Ní thagann caonach ar chloch reatha.
Sense doesn't come before age.|Ní thagann ciall roimh aois.
Peace is everything.|Ní théann rogha ón réiteach.
A dog doesn't run from a bone.|Ní theitheann cú roimh chnámh.
One cannot be everywhere, attend to everything, at once.|Ní thig leis an ngobadán an dá thrá a fhreastal.
Speed is not conducive to accuracy.|Ní thig luas le léire.
It's an ill wind that blows nobody good.|Ní thig olc i dtír nach fearrde duine éigin.
It is ill speaking between a full man and a fasting.|Ní thuigeann an sách an seang.
One does not tire of a profitable occupation.|Ní thuirsítear fear na héadála.
Wisdom is no burden.|Ní troime den cholainn ciall.
When the drop is inside, sense is outside.|Nuair a bhíonn an braon istigh bíonn an chiall amuigh.
When luck lessens, love cools.|Nuair a laghdaíonn an t-ádh, fuaraíonn an grá.
Misfortunes never come singly.|Nuair a thagann an chaill tagann an fhaill.
Sow the wind and reap the whirlwind.|Ól gloine is caoin dabhach.
God shares His gifts among men.|Roinneann Dia na suáilcí.
Sudden fit of repentance (followed by bout of profligacy).|Scaird aithrí scaird pheacaí.
The cat's story: its kitten.|Scéal an chait, a piscín.
Wine in, truth out.|Sceitheann fíon fírinne.
Drink reveals the ill intent (in vino veritas).|Sceitheann meisce mírún.
A grain escapes from the shelling (exceptional characters are to be found in all communities).|Scinneann gráinne ón scilligeadh.
A bird darts out of every flock (exceptional characters are to be found in all communities).|Sciurdann éan as gach ealta.
Beware the pub or limpets will be your food.|Seachain an teach tábhairne nó is bairnigh is beatha duit.
A cat walks seven acres in a night.|Siúlann na cait seacht n-acra in oíche.
Give him an inch and he'll take an ell.|Tabhair banlámh don bhodach agus tabharfaidh sé féin slat leis.
Give a beggar a horse and he will ride to the devil.|Tabhair rogha don bhodach agus tógfaidh sé an díogha.
God is patient but He does not forget.|Tá Dia foighneach ach níl Sé dearmadach.
God is strong, a powerful ally in distress.|Tá Dia láidir agus tá máthair mhaith aige.
Waste makes want.|Tagann an cruatan i ndiaidh an chaite.
Honesty is above bargaining (honesty is the best policy).|Tá ionracas os cionn margaidh.
Practice makes perfect.|Taithí a dhéanann máistreacht.
Actions speak louder than words.|Téann focal le gaoth ach téann buille le cnámh.
There will be chaos when the pipit leads the cuckoo.|Titfidh an spéir nuair a rachaidh an gobadán i mbéal na cuaiche.
Where there's a will there's a way.|Tnúth a threabhas.
Sleep is the first sign of recovery.|Tosach sláinte codladh.
Even a worm will turn.|Troidfidh cailleach i gcruachás.
Every man is the architect of his own fortune.|Tuar an t-ádh agus tiocfaidh sé.
A word to the wise is sufficient.|Tuigeann fear léinn leathfhocal.
Rob Peter to pay Paul.|Tuí na háithe a chur ar an muileann.
Well begun is half done.|Tús maith leath na hoibre.
Wisdom begins with the fear of the Lord.|Tús na heagna eagla an Tiarna.
*Triads|Tréanna
Three things that make for happiness: hedges, shelter, and early rising.|Trí ní a bhaineann le sonas: fál, foscadh, is mochóirí.
Three things that don't leave a trace: a bird on the branch, a trout on the pool, a woman's love on a man's heart.|Trí rud nach bhfágann rian: éinín ar an gcraobh, breac ar an linn, grá mná ar chroí fir.
Three things that can't be taught: singing voice, generosity, and poetry.|Trí ní nach féidir a mhúineadh: guth, féile is filíocht.
The three strongest strengths: strength of fire, strength of water, strength of an enemy|Na trí neart is treise: neart tine, neart uisce, neart namhad
Three things that can't be seen: edge, wind and love.|Trí ní nach féidir a fheiscint: faobhar, gaoth agus grá.
The three signs of a fool: a tilted cap, whistling, and questions.|Trí chomhartha an amadáin: feirc, feadaíl is fiafraí.
*Similes|Samhlacha
I am..., You are..., He/she is...|Tá mé..., Tá tú..., Tá sé/sí...
As bald as a coot.|Chomh maol le croí mo dhearnan.
As bald as a coot.|Chomh maol le tuairgnín.
As bare as a rock.|Chomh lom leis an leac.
As bare as the palm of my hand.|Chomh lom le mo bhos.
As bent as a rainbow.|Chomh cam le tuar ceatha.
As black as a beetle.|Chomh dubh leis an daol.
As black as a berry.|Chomh dubh le sméar.
As black as a hob.|Chomh dubh le bac.
As black as a raven.|Chomh dubh leis an bhfiach.
As black as a raven's feather.|Chomh dubh le cleite an fhéich.
As black as a sloe.|Chomh dubh le hairne.
As black as coal.|Chomh dubh le gual.
As black as Erebus.|Chomh dubh le Poll Tí Liabáin.
As black as pitch.|Chomh dubh le pic.
As black as Satan.|Chomh dubh leis an diabhal.
As black as the bottom of a pot.|Chomh dubh le tóin corcáin.
As black as the hob.|Chomh dubh leis an iarta.
As blind as a bat.|Chomh dall le bonn mo bhróige.
As blue as a blue-bag.|Chomh gorm le mála an ghoirm.
As blue as indigo.|Chomh gorm le plúirín.
As busy as a bee.|Chomh díbhirceach le beach.
As busy as a bee.|Chomh saothrach le beach.
As calm as a pond.|Chomh ciúin le linn.
As clear as crystal.|Chomh glan le criostal.
As clear as spring water.|Chomh glan le fíoruisce.
As clear as the noonday sun.|Chomh soiléir le grian an mheán lae.
As cold as death.|Chomh fuar leis an éag.
As crafty as a fox.|Chomh glic le sionnach.
As crooked as a dog's hind leg.|Chomh cam le cos deiridh an mhadra.
As crooked as a pot-hook.|Chomh cam le cam lúbáin.
As crooked as a ram's horn.|Chomh cam le hadharc reithe.
As cunning as a fox.|Chomh críonna le sionnach.
As cunning as Satan.|Chomh glic leis an diabhal.
As dead as a stone.|Chomh marbh le hart.
As deaf as a drum.|Chomh bodhar le bodhrán.
As deaf as a stone.|Chomh bodhar le cloch, le slis, le bodhrán.
As dilute as water.|Chomh lom leis an uisce.
As dry as as flour.|Chomh tirim le plúr.
As dry as as snuff.|Chomh tirim le snaois.
As dry as powder.|Chomh tirim le púdar.
As dry as tinder.|Chomh tirim le sponc.
As dry as tinder.|Chomh tirim le spríos.
As false as Satan.|Chomh bréagach leis an diabhal.
As fast as a greyhound.|Chomh gasta le cú.
As fat as an ox.|Chomh ramhar le mart.
As fat as a seal.|Chomh ramhar le rón.
As fierce as a wolf.|Chomh confach le mac tíre.
As fine as flour.|Chomh mion le plúr.
As fine as snuff.|Chomh mion le snaois.
As firm as a rock.|Chomh daingean le carraig.
As firm as a tree-stump.|Chomh daingean le bun crainn.
As firm as the ferrule on a beggar's staff.|Chomh daingean le bianna ar mhaide bacaigh.
As flat as a board.|Chomh cothrom le clár.
As fleet as a deer.|Chomh sciobtha le fia.
