*Greetings
How’s it going?|Tóskhe? 
Do it better.|Sáŋm taŋyáŋ ečhúŋ wo/we. 
Do it this way or that way.|Léčhel naíŋš kákhel ečhúŋ wo/we. 
Don’t be scared.|Kȟokíphe šni yo/ye. 
Don’t be shy.|Wíšteče šni yo/ye. 
Don’t bicker with each other.|Ahóyekičhiyap šni yo/ye. 
Don’t blame me.|Él amáye šni yo/ye. 
Don’t brag about yourself.|Iglátaŋ šni yo. 
Don’t cause trouble.|Wóšiče šni yo/ye. 
Don’t cry.|Čhéye šni yo/ye. 
Don’t do it yet.|Naháȟčiŋ ečhúŋ šni yo/ye. 
Don’t do that anymore.|Heháŋyaŋ héčhuŋ šni yo/ye. 
Don’t drop it.|Yušná šni yo/ye. 
Don’t exaggerate.|Aókaǧe šni yo/ye. 
Don’t fight with each other.|Kičhízap šni yo/ye. 
Don’t go yet.|Naháȟčiŋ iyáye šni yo/ye. 
Don’t leave without me.|Iȟpéya imáyaye šni yo/ye. 
Don’t let him/her escape.|Napȟékhiye šni yo/ye. 
Don’t let me forget.|Éktunšmakhíye šni yo/ye. 
Don’t make something out of it.|Yutáku šni yo/ye. 
Don’t miss (i.e. a basketball shot, etc.).|Kašná šni yo/ye. 
Don’t pick your nose.|Pȟasú okíč’e šni yo/ye. 
Don’t pout.|Wačhíŋkȟo šni yo/ye. 
Don’t put that into your mouth.|Hé iyógnake šni yo/ye. 
Don’t talk dirty.|Šikšílye šni yo/ye. 
Don’t tell them.|Owíčhakiyake šni yo/ye. 
Don’t worry about it.|Ítokȟa šni yo/ye. 
Eat it up.|Tȟebyá yo/ye. 
Forget it.|Éktuŋža yo/ye. 
Forgive me.|Amíčiktunža yo/ye. 
Get away./Go on.|Ȟeyáb ečhúŋ wo/we. 
Get away.|Ȟeyáb iyáya yo/ye. 
Get me a plate.|Wakšíča waŋží imákiču wo/we. 
Get moving now. (to more than one)|Waná škíŋčiya po/pe. 
Give it to me.|Mak’ú wo/we. 
Give me a call later.|Tókša makíyuȟla yo/ye. 
Go get some water.|Mní etáŋ hiyóya yo/ye. 
Go get the money (in another place).|Mázaska kiŋ éiču wo/we. 
Go towards that way.|Héčhetkiya yá yo/ye. 
Have a seat somewhere.|Tuktél íyotaka yo/ye. 
Have pity on me.|Úŋšimala yo/ye. 
Have this.|Lé yuhá yo/ye. 
Help me.|Ómakiya yo/ye. 
Help yourselves.|Óič’iya po/pe. 
Hold this for me.|Lé míčiyuza yo/ye. 
Leave it alone.|Ayúštaŋ yo/ye. 
Leave me alone.|Amáyuštaŋ yo/ye. 
Lend me some money.|Mázaska etáŋ omák’u wo/we. 
Lend me some wheels (your car).|Hugmíyaŋ omák’u wo/we. 
Let’s get out of here. (to one person)|Síuŋgluha kte. 
Listen up (to more than one).|Anáǧoptaŋ po/pe. 
Look at this.|Wáŋ le waŋ. (Waŋlá.) 
Make room for me. (to more than one)|Makíyukȟaŋ po/pe! 
Open the door.|Thiyópa kiŋ yuǧáŋ yo/ye. 
Pray for me.|Wačhémičičhiya yo/ye. 
Pray now.|Waná wačhékiya yo/ye. 
Put on your shoe(s).|Háŋpa okíhaŋ yo/ye. 
Put that away.|Hé mahél iyéya yo/ye. 
Put that down.|He égnaka yo/ye. 
Raise your hands (to more than one).|Napé yuǧáta po/pe. 
Read this. (to more than one)|Lé yawá po/pe. 
Remember this.|Lé kiksúya yo/ye. 
Respect your Grandmother Earth. (to more than one)|Unčí Makȟá gluónihaŋ po/pe. 
Say it after me.|Mihákab eyá yo/ye. 
Say it loudly.|Hotȟáŋkaya eyá yo/ye. 
Share with each other.|Okíčhič’u po/pe. 
Sit all the way down.|Khúl íyotaka yo/ye. 
Sit down (to more than one).|Íyotaka po/pe. 
Sit quietly/Be quiet (to more than one).|Iníla yaŋká po/pe. 
Sit still.|Owáŋžila yaŋká yo/ye. 
Sit up.|Woslá yaŋká yo/ye. 
Sober up.|Kibléza yo/ye. 
Stand up and remove your hats.|Inážiŋpi na wapȟóštaŋ glušlóka po/pe. 
Stay right there/Sit right there.|Éna yaŋká yo/ye. 
Study this book.|Wówapi kiŋ lé ablés wačhíŋ yo/ye. 
Take either one.|Uŋmágma ičú wo/we. 
Take it.|Ičú wo/we. 
Take your medicine.|Pȟežúta ikíkču wo/we. 
Tell them to sit quietly.|Iníla yaŋké wičháši yo/ye. 
Tell the truth.|Wičákȟa yo/ye. 
Throw it away.|Iȟpéya yo/ye. 
Throw the ball to me.|Tȟápa kiŋ kaȟ’ól hiyúmakhiya yo/ye. 
Translate for me.|Míčiyuíyeska yo/ye. 
Try it.|Iyútȟa yo/ye. 
Turn on the lights.|Ožáŋžaŋ kiŋ yuíle yo/ye. 
Turn out the lights.|Ožáŋžaŋ kiŋ yusní yo/ye. 
Turn the volume down.|Yuhóčik’ala yo/ye. 
Wait now…|Híŋyaŋka. 
Wash your feet.|Sí glužáža yo/ye. 
Watch out! (to more than one)|Waktá po/pe! 
Watch over them.|Awáŋyaŋg wičhákhuwa yo/ye. 
Wipe your face.|Ité kpakhíŋta yo/ye. 


*Emotions
I’m doing really well.|Matáŋyeȟči. 
I love you.|Thečhíȟila 
I’m sad.|Iyómakšiče. 
It’s very sad (there is much sadness).|Líla oíyokšiče. 
I can (not) speak Lakota.|Lakȟótiwaya owákihi (šni). 
I hate that (person/thing).|Hé waȟtéwala šni. 
I’m happy whenever I dance.|Wawáčhi čháŋna šna iyómakphi. 
I am a little nervous.|Kítaŋla nihíŋmičiye. 
I’m getting nervous.|Nihíŋčiya amáye. 
I didn’t participate because I was afraid.|Ówapȟa (Ómapȟa) šni, kȟowákpȟa čhá. 
That startled/scared me.|Hé yuš’íŋyemaye. 

*Physical State
I am suffering.|Makákiže(lo). 
I hurt in various places.|Tuktéktel mayázaŋ. 
My rear end fell asleep.|Uŋzé kiŋ wakpát’e. 
I’m going to lie down.|Khúl imúŋkiŋ kte. 
I’m going to bed early.|Ečháni imúŋkiŋ kte. 
I’m going to sleep late.|Tȟéhaŋ waȟpayiŋ kte. 
I woke up with my eyes all mucous-y.|Ištóȟliya wékta. 
I gotta pee!|Léš wakíniča! 
I want to go to the bathroom.|Oíheye thípi ektá blá wačhíŋ. 
I’m dizzy all of a sudden.|Kaítomni mahíŋgle. 
I really need to eat.|Wawátiŋ kte hčiŋ. 
I came to scam some food.|Thióle wahí. 
This is good to eat (tasty).|Lé oyúl wašté. 
I stuffed myself too much with food earlier today.|Aŋpéhaŋ wót’emič’iye. 
If I try to eat it all, I’m going to throw up.|Tȟebyé wačháŋmi háŋtaŋš, waglépiŋ kte. 
I’m not hungry yet.|Naháȟčiŋ lowáčhiŋ šni. 
It is too cold in here.|Eháš thiósni. 
It is too hot in here.|Eháš thiókȟate. 

*Weather
It’s not terribly hot outside.|Tȟaŋkál lílahči okȟáte šni. 
They say it’s going to be hot.|Okȟátiŋ kta kéyab. 
It’s supposed to storm tomorrow.|Híhaŋni kiŋ ošíčheča kta kéyab. 
It was really snowing hard last night.|Haŋhépi khilíya wá hiŋhé. 

*Activities
I’m just going for a walk.|Íŋše ománi blé. 
I’m going to go play basketball.|Tȟabškál mníŋ kte. 
I just want to sit around.|Ikčéya maŋká wačhíŋ. 
I came to see my child.|Mičhíŋča kiŋ wanglák wahí. 
I want to go get a drink.|Mní yatké blá wačhíŋ. 
I want to go home.|Waglá wačhíŋ. 
I’m going to defragment my hard drive.|Hard drive mitȟáwa kiŋ defragment-iyéwayiŋ kte. 
They went to go shopping.|Wópȟetȟuŋ iyáyapi. 


*Conversation
I want to say something.|Takúŋl epȟá wačhíŋ. 
I went to your house yesterday.|Ȟtálehaŋ yathí ektá waí. 
I almost didn’t recognize you.|Iyéčhičiye šni khá. 
I called him/her (on the phone).|Mas’áwakipȟe. 
I called you about three days ago.|Hékta yámni čhan uŋ héhaŋ séča mas’áčhičipȟe. 
We are on bad terms with each other now.|Waná óčhiuŋšičapi. 
Well…|Eyá le…/Ho eyá… 
Who cares/It doesn’t matter.|Tókȟa šni. 
Whoever that is (i.e. I have no idea).|Hé tuwé ka héči. 
You are blushing.|Ité šá nihíŋgle. 
You did very well.|Yuphíya waéčhanuŋ. 
You know you want me.|Amáyasču čhá slolyáye. 
You look sick.|Nikhúže s’eléča. 
You look tired.|Niȟwá s’eléčȟeča. 
You’re finally here.|Kítaŋȟči yahí. 
You’re really cute.|Líla ničhó. 
You’re right.|Wičáyakȟe. 
You’re standing in the way.|Khušéya nayážiŋhe. 
You seem to think you’re so smart.|Líla ksabníč’ila s’eléča. 
You should have bought something for me.|Takúŋl opȟémiyečatȟúŋ kta kȟá. 
You should have told me that.|He omáyakiyakiŋ kta kȟá. 
You think bad.|Šikšílya wílukčaŋ. 
You were supposed to be here a while ago.|Lečhála yahí kta skȟá. 
There’s nothing to be afraid of.|Tákuni kȟokípȟe phičá šni. 
I can’t remember.|Wéksuya owákihi šni. 
I desire health for him/her.|Wičhózani čhiŋwákhiye. 
I did it by accident.|Wanúŋ ečhámuŋ. 
I didn’t hear you.|Načhíȟ’un šni. 
I didn’t recognize you.|Iyéčhičiye šni. 
I didn’t see him/her/it at all.|Atáš waŋbláke šni. 
I don’t feel like doing it right now.|Wanáš ečhúŋ wakápiŋ. 
I don’t have any.|Maníče. 
I don’t know where to go.|Tókhiya blé ka núŋ tkȟá. 
I don’t know why he/she hit you.|Tákuwe anípȟe kiŋ slolwáye šni. 
I don’t know yet whether I will come.|Waú kta héči naháȟčiŋ slolwáye šni. 
I don’t want to do it.|Ečhámuŋ wačhíŋ šni. 
I don’t want to offend anyone.|Tuwéni oyázaŋwaya wačhíŋ šni. 
I feel strange for some reason.|Tomákča s’eléčheča. 
If you do that, I’ll hit you.|Héčhanuŋ kiŋ ačhíphiŋ kte. 
I had that dream many times.|Wóihaŋble kiŋ hé tóna akhígle bluhá. 
I have looked here and there.|Enána owále. 
I haven’t seen you for a while.|Théhaŋ waŋčhíyaŋke šni. 
I have to head out now.|Waná iblámniŋ kte héčha. 
I heard that she is pregnant.|Nawáȟ’uŋ naháŋ iglúš’aka skȟé. 
I just came for no reason.|Ikčéya wahí. 
I’ll see you all later.|Tókša akhé waŋčhíyaŋkapi kte. 
I’ll take you home in a little while.|Ehákela ačhígniŋ kte. 
I’m going to sit with you.|Kičhí čhiyáŋkiŋ kte. 
I’m going to strangle you!|Čhiyút’iŋ kte! 
I’m trying to do it.|Ečhúŋ wačhámiŋhe. 
I need as much as you can spare.|Toháŋyaŋ yakpáǧaŋ oyákihi héči wačhíŋ kte. 
I need some gas.|Wígli etáŋ wačhíŋ kte. 
I ran out of gas.|Wígli nawásote. 
I remember them (people).|Wičháweksuye. 
I saw him/her/it pretty recently.|Lečhálake s’e waŋbláke. 
I say thank you to you all.|Wóphila ečhíčiyapi. 
I shake your hands with a good heart.|Čhaŋté waštéya napé čhiyúzapi. 
I suppose I’ll come.|Waú kte séče. 
I sure don’t know.|Slolwáyiŋ kte šni. 
I wanted to ask you something.|Táku waŋ ičhíyuŋǧa wačhíŋ. 
Just like that|Héčhuŋp-s’e 
Me too.|Míš-eyá. 
Not yet.|Nahaŋȟči. 
Someone was looking for you.|Tuwá onílehe. 
Thank you very much.|Wóphila héčha. 
That’s all I’m going to say.|Heháŋyela epȟíŋ kte. 
That’s all I want.|Héčhegla wačhíŋ. 
That’s good enough.|Heháŋyaŋ wašté. 
That’s it/That’s all.|Héčhegla. 

*Assorted
Almost no one remembers me.|Tuwéni kiníl míksuye šni. 
For some reason they lost their tempers all of a sudden.|Tákuwe lakȟá čhaŋzégzeg hiŋglápi. 
He broke his arm./She broke her arm.|Istó kawéǧe. 
He came and then he left.|Hí yuŋkȟáŋ iyáye. 
He is looking for a woman (girlfriend).|Hé wióle úŋ. 
He rolled his car/She rolled her car.|Iyéčhiŋkíŋyaŋke kiŋ kaptáŋyekiye. 
He/She always does that.|Hé héčhuŋ s’a. 
He/She came and sat before me.|Mitȟókab híyotake. 
He/She came and stood before me.|Mitȟókab hinážiŋ. 
He/She definitely doesn’t know about it.|Takómni oslólye šni. 
He/she did it repeatedly.|Phiphíya ečhuŋ. 
He/She drank up all the money.|Mázaska kiŋ átaya yaȟépe. 
He/She fainted twice.|Núŋpa akhígle sniyáŋ t’é. 
He/She fell and injured himself/herself.|Gliȟpáyiŋ na úŋtȟuŋič’iye. 
He/She has been staying there for a long time.|Tȟéhaŋ hél oúŋye. 
He/She has been staying there for a while.|Owátohaŋyaŋ hél oúŋye. 
He/She has been staying there for only a short time.|Opčébyela hél oúŋye. 
He/She hit him/her in the eye.|Ištá ogná apȟé. 
He/She is always crabby towards me.|Óhiŋniyaŋ íšiŋkčhiŋ makhúwa. 
He/She is a pouter.|Hé wačhíŋkȟo s’a. 
He/She is arriving back now.|Waná glihúŋni. 
He/She is really deaf.|Hé líla nuŋȟčȟáŋ. 
He/She is really jealous of me.|Líla anámawizi. 
He/She/It got run over by a car.|Iyéčhiŋkíŋyaŋka uŋ nat’ápi. 
He/She passed away several weeks ago.|Hékta okó tóna uŋ héhaŋ wičhóni ékignake. 
He/she really does good work.|Líla taŋyáŋ šna wówaši ečhúŋ. 
He/She really drinks a lot nowadays.|Leháŋl wayátke s’a. 
He/She’s in prison (behind bars).|Mázaǧaǧeča ilázata yaŋké. 
He/She’s lying in the hospital.|Okhúže thípi él ȟpáye. 
He/She smiled at me.|Iȟá amáyuta. 
He/She was raised by his/her grandmother.|Kȟúŋšitku kiŋ ičháȟye. 
He/She was sick suddenly.|Hé khúš hiŋglé. 
He/She will dance for me.|Wamíčičhi kte. 
His/Her father didn’t go because he is sickly.|Atkúku kiŋ í šni ičhíŋ wayázaŋke. 
One of the men was even crying.|Wičháša kiŋ waŋží iyótaŋš čhéyahe. 
It disappeared.|Tókȟaȟ’aŋ. 
It is said that the buffalo is sacred.|Tȟatȟáŋka kiŋháŋ wakȟáŋpi skhé. 
It’s going to be very crowded.|Okít’eya yaŋkápi kte. 
It’s time now.|Waná iyéhaŋtu. 
It will be free.|Išíčhola kte. 
I will probably go there.|Héčhiya mníŋ kta načhéče. 
I wonder where they came from.|Tókhiyataŋhaŋ hípi sél. 
My girlfriend/boyfriend left me.|Mitȟá wiŋčhíŋčala/wičháša kiŋ amáyuštaŋ. 
My little brother told on me.|Misúŋkala kiŋ omáyake. 
My wife is going to chew me out.|Mitȟáwiču kiŋ iyópȟemayiŋ kte. 
Nobody does that (to a misbehaving child).|Tuwéni héčhuŋ šni. 
No, nobody is there.|Hiyá, tuwéni él úŋ šni. 
No one is home.|Tuwéni thiyáta úŋ šni. 
That dog always bites.|Šúŋka kiŋ hé óhiŋniyan wayáȟtake. 
That horse sometimes bucks.|Šúŋkawakȟaŋ kiŋ hé watóhaŋl šna iyéič’iye. 
That is really dangerous.|Hé íčat’a wókȟokpȟeke. 
That one doesn’t listen.|Hé wanáȟ’uŋ šni. 
That person always shoots his/her mouth off.|Hé waéye s’a. 
That person has no ears (doesn’t listen).|Hé núŋǧe waníče. 
That person is just pretending to sleep.|Hé íŋše ištíŋme kúŋze. 
That person is not all there (mentally).|Hé ečhétuke šni. 
That person is nuts/wild.|Hé witkótkoke. 
That woman is usually friendly.|Wíŋyaŋ kiŋ hé eyá šna waštéčake. 
The baby is just cute.|Hokšíčala kiŋ waštéla. 
The bell’s going to ring soon.|Ȟlaȟlá kiŋ ečháni naȟlá kte. 
The car won’t run.|Iyéčhiŋkíŋyaŋke kiŋ iyáya okíhi sni. 
The chief is here now.|Itȟáŋčhaŋ kiŋ waná hihúŋni. 
The grass is scattered here and there in clumps.|Pȟeží kiŋ ptáptaya hiyéye. 
The other way.|Uŋmáčhetkiya. 
The tire is flat.|Hugmíyaŋ kiŋ nasníze. 
They all headed out all of a sudden.|Uŋgnáhelaka éyaye. 
They called me to the office.|Itȟáŋčhaŋ oyáŋke ektá umášipi. 
They came to pick you up.|Hiyónihipi. 
They did it needlessly/for no reason.|Otúyačhiŋ ečhúŋpi. 
They didn’t see each other there.|Hél waŋkíčhiyaŋkap šni. 
They did that improperly.|Ipáyeȟ héčhuŋpi. 
They emerged one by one.|Waŋžígži hinápȟapi. 
They must know each other.|Slolkíčhiyapi itéke. 
They really like teasing me.|Mayúškehaŋpi kiŋ líla iyókphipi. 
They’re going to fill their pipes now.|Waná čhaŋnúnpa kiŋ okpáǧipi kte. 
They stood in a circle around me.|Mitȟáŋwokšaŋ énažiŋ. 
They will be pierced on the fourth day.|Aŋpétu itópa kiŋ wičhápaȟlokapi kte. 
They will name him/her tomorrow.|Híhaŋni kiŋ čhaštȟúŋpi kte. 
